"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C100240CA",25.9449023465294,-0.00155602160972243,0.0566204527431525,0.595906177269644,0.99970875222106
"CAALFM_C100320WA",611.31817133918,0.00908329628322996,0.0559112147280122,0.508766290656359,0.99970875222106
"CAALFM_C100330CA",1247.31246707112,0.00197186712241166,0.0540083220430538,0.906241334499665,0.99970875222106
"CAALFM_C100340WA",2123.77944038607,-0.0011172303227515,0.0563641847105925,0.844218306439292,0.99970875222106
"CAALFM_C100350CA",2870.87421010888,0.00285281694798107,0.0565384169198285,0.580536721085529,0.99970875222106
"CAALFM_C100360WA",568.348717351568,-0.0318551404936333,0.0609863716386538,0.206706559326435,0.99970875222106
"CAALFM_C100370WA",26.3453402992117,-0.000501749849080373,0.0564049475153806,0.923846404222961,0.99970875222106
"CAALFM_C100380CA",1125.93735849013,-0.00196929572044469,0.0544014633186955,0.89771349927765,0.99970875222106
"CAALFM_C100390WA",965.606609336878,0.00606208535106353,0.0553317268989658,0.661701559699991,0.99970875222106
"CAALFM_C100400WA",4313.95720479717,-0.00303162117813689,0.0553191214195451,0.806926511377808,0.99970875222106
"CAALFM_C100410CA",2137.4335782271,0.000259785356037313,0.0532071021822018,0.989273240478242,0.99970875222106
"CAALFM_C100420WA",1812.62045519014,-0.00045912804200414,0.056294472318059,0.938972101678783,0.99970875222106
"CAALFM_C100430WA",928.784687433239,-0.00205749946561289,0.0553881186262096,0.842606980396398,0.99970875222106
"CAALFM_C100440WA",4735.67861179851,0.0129935959655992,0.0552645006571306,0.59736583271656,0.99970875222106
"CAALFM_C100450CA",2285.96381995071,-0.0036361694102102,0.0560855658659404,0.68594061256875,0.99970875222106
"CAALFM_C100460WA",2809.4704725446,-0.00217186725164595,0.0562396002520263,0.76379906366633,0.99970875222106
"CAALFM_C100470CA",962.586605526571,0.0094298849516272,0.0543546787081842,0.587070014548371,0.99970875222106
"CAALFM_C100480CA",4385.98378769745,-0.00161275742398703,0.0563195017516293,0.799500964547203,0.99970875222106
